City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
New Norfolk,-42.7826,147.0587,60.01,69,0,1.1,AU,1616159130
Tasiilaq,65.6145,-37.6368,28.4,86,20,9.22,GL,1616159130
Ushuaia,-54.8,-68.3,46.4,76,75,4.61,AR,1616159129
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Mwingi,-0.9344,38.0601,85.96,37,74,8.01,KE,1616159131
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Suntar,62.1444,117.6319,20.19,90,100,7.58,RU,1616159131
Jiuquan,39.7432,98.5174,37.0,16,54,8.19,CN,1616159076
Cape Town,-33.9258,18.4232,71.6,53,20,13.8,ZA,1616159033
Karratha,-20.7377,116.8463,81.97,52,1,25.55,AU,1616158852
Chicama,-7.8447,-79.1469,69.8,88,75,6.91,PE,1616159132
Nikolskoye,59.7035,30.7861,23.0,63,75,8.95,RU,1616159132
Gumdag,39.2061,54.5906,64.92,27,0,9.06,TM,1616159132
Pevek,69.7008,170.3133,-19.28,87,94,1.79,RU,1616159133
Royan,45.6285,-1.0281,50.0,57,90,20.71,FR,1616159133
Saint-Philippe,-21.3585,55.7679,82.99,74,90,23.02,RE,1616159130
Thompson,55.7435,-97.8558,23.0,80,1,2.3,CA,1616159134
Hambantota,6.1241,81.1185,80.6,89,90,3.44,LK,1616158904
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Mahébourg,-20.4081,57.7,84.2,70,40,9.22,MU,1616159135
Ridgecrest,35.6225,-117.6709,57.2,51,1,12.66,US,1616159135
Fershampenuaz,53.5202,59.8117,27.36,95,100,8.39,RU,1616159136
Khatanga,71.9667,102.5,-29.51,96,100,5.53,RU,1616159136
Puerto Ayora,-0.7393,-90.3518,77.0,91,63,3.36,EC,1616159136
Atuona,-9.8,-139.0333,79.68,75,88,12.84,PF,1616159136
Tocopilla,-22.092,-70.1979,69.15,76,72,4.9,CL,1616159137
Chui,-33.6971,-53.4616,67.39,58,0,4.45,UY,1616159137
Humboldt,40.6665,-123.9178,42.01,100,40,8.05,US,1616159137
Gorontalo,0.5412,123.0595,76.01,93,84,3.47,ID,1616159138
Lorengau,-2.0226,147.2712,81.05,75,32,3.02,PG,1616159138
Husavik,66.0449,-17.3389,51.8,62,75,17.27,IS,1616159138
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Biskamzha,53.4497,89.5272,13.95,95,23,0.36,RU,1616159139
Sitka,57.0531,-135.33,33.8,86,90,9.22,US,1616159139
Nikolskoye,59.7035,30.7861,23.0,63,75,8.95,RU,1616159132
Rikitea,-23.1203,-134.9692,80.38,77,100,14.63,PF,1616159131
Butaritari,3.0707,172.7902,80.94,80,100,8.86,KI,1616159141
Albany,42.6001,-73.9662,24.01,34,3,3.0,US,1616159131
Busselton,-33.65,115.3333,73.0,64,58,8.37,AU,1616159139
Hilo,19.7297,-155.09,66.2,82,75,4.5,US,1616159142
Bluff,-46.6,168.3333,55.0,88,100,5.01,NZ,1616159142
